,bike_date,km_score,tripduration_x,bike_trip_count_x,holiday_x,weekend_x,tripduration_x,bike_trip_count_x,holiday_y,weekend_y
336,2015-12-03,0.422209781121,12.9960752403,857,0,0,12.9960752403,857,-0.298842584326,-0.630377459427
85,2015-03-27,0.42168249562,9.74877564516,307,0,1,9.74877564516,307,-0.298842584326,1.58200497029
43,2015-02-13,0.418978494944,9.06372180451,177,0,1,9.06372180451,177,-0.298842584326,1.58200497029
333,2015-11-30,0.418478010509,10.7350214229,793,0,0,10.7350214229,793,-0.298842584326,-0.630377459427
12,2015-01-13,0.411509544788,8.6664517542,309,0,0,8.6664517542,309,-0.298842584326,-0.630377459427
186,2015-07-06,0.411298478328,12.366082153,741,0,0,12.366082153,741,-0.298842584326,-0.630377459427
354,2015-12-21,0.408797579915,12.1064919669,816,0,0,12.1064919669,816,-0.298842584326,-0.630377459427
140,2015-05-21,0.408170111509,12.7267149102,754,0,0,12.7267149102,754,-0.298842584326,-0.630377459427
332,2015-11-29,0.406414061078,19.4675336914,214,0,0,19.4675336914,214,-0.298842584326,-0.630377459427
155,2015-06-05,0.404485933837,15.0116377067,651,0,1,15.0116377067,651,-0.298842584326,1.58200497029
269,2015-09-27,0.40231893604,18.7438416125,346,0,0,18.7438416125,346,-0.298842584326,-0.630377459427
7,2015-01-08,0.402138803918,8.85088795957,273,0,0,8.85088795957,273,-0.298842584326,-0.630377459427
126,2015-05-07,0.398950597158,13.0175691348,790,0,0,13.0175691348,790,-0.298842584326,-0.630377459427
182,2015-07-02,0.398131200425,13.7697091461,693,1,0,13.7697091461,693,3.33707552497,-0.630377459427
135,2015-05-16,0.398031725059,16.9758363506,205,0,1,16.9758363506,205,-0.298842584326,1.58200497029
62,2015-03-04,0.394231422729,11.4279151555,220,0,0,11.4279151555,220,-0.298842584326,-0.630377459427
148,2015-05-29,0.393081245245,15.9279398082,773,0,1,15.9279398082,773,-0.298842584326,1.58200497029
98,2015-04-09,0.392230712024,9.55338920399,373,0,0,9.55338920399,373,-0.298842584326,-0.630377459427
164,2015-06-14,0.390695395906,21.1158319009,286,0,0,21.1158319009,286,-0.298842584326,-0.630377459427
70,2015-03-12,0.380278825451,10.0097133088,512,0,0,10.0097133088,512,-0.298842584326,-0.630377459427
315,2015-11-12,0.379430295417,11.8977741043,801,1,0,11.8977741043,801,3.33707552497,-0.630377459427
112,2015-04-23,0.369634245918,13.1755322612,539,0,0,13.1755322612,539,-0.298842584326,-0.630377459427
6,2015-01-07,0.363859751047,9.82251869864,262,0,0,9.82251869864,262,-0.298842584326,-0.630377459427
146,2015-05-27,0.363445314953,12.0961251341,720,0,0,12.0961251341,720,-0.298842584326,-0.630377459427
224,2015-08-13,0.35737863761,13.1778153817,801,0,0,13.1778153817,801,-0.298842584326,-0.630377459427
341,2015-12-08,0.350341912341,12.6715342961,868,0,0,12.6715342961,868,-0.298842584326,-0.630377459427
90,2015-04-01,0.349173546746,10.8801748917,539,0,0,10.8801748917,539,-0.298842584326,-0.630377459427
64,2015-03-06,0.346324306848,10.4400786121,118,0,1,10.4400786121,118,-0.298842584326,1.58200497029
183,2015-07-03,0.346135290952,17.0959613937,322,1,1,17.0959613937,322,3.33707552497,1.58200497029
73,2015-03-15,0.345984390972,12.60245039,94,0,0,12.60245039,94,-0.298842584326,-0.630377459427
172,2015-06-22,0.339803429771,14.3023535937,674,0,0,14.3023535937,674,-0.298842584326,-0.630377459427
124,2015-05-05,0.337755065461,12.6689995734,634,0,0,12.6689995734,634,-0.298842584326,-0.630377459427
348,2015-12-15,0.337520051504,12.4533558201,990,0,0,12.4533558201,990,-0.298842584326,-0.630377459427
129,2015-05-10,0.336711270481,20.2850077695,327,0,0,20.2850077695,327,-0.298842584326,-0.630377459427
263,2015-09-21,0.333857617275,15.7873387055,787,0,0,15.7873387055,787,-0.298842584326,-0.630377459427
58,2015-02-28,0.331265618792,10.6437812188,56,0,1,10.6437812188,56,-0.298842584326,1.58200497029
345,2015-12-12,0.330509594428,16.6581580806,367,0,1,16.6581580806,367,-0.298842584326,1.58200497029
69,2015-03-11,0.321777908646,12.0720814763,550,0,0,12.0720814763,550,-0.298842584326,-0.630377459427
257,2015-09-15,0.319081533471,12.819876765,834,0,0,12.819876765,834,-0.298842584326,-0.630377459427
206,2015-07-26,0.318919536438,19.2377861401,385,0,0,19.2377861401,385,-0.298842584326,-0.630377459427
163,2015-06-13,0.318686886431,18.9239345468,305,0,1,18.9239345468,305,-0.298842584326,1.58200497029
304,2015-11-01,0.317634600994,16.8322510644,394,0,0,16.8322510644,394,-0.298842584326,-0.630377459427
278,2015-10-06,0.311111949458,20.2627810371,1044,0,0,20.2627810371,1044,-0.298842584326,-0.630377459427
17,2015-01-18,0.31057784448,14.25,8,1,0,14.25,8,3.33707552497,-0.630377459427
260,2015-09-18,0.30974071471,15.2960938924,836,0,1,15.2960938924,836,-0.298842584326,1.58200497029
26,2015-01-27,0.308983524524,9.54285714286,27,0,0,9.54285714286,27,-0.298842584326,-0.630377459427
234,2015-08-23,0.305561390207,20.1339133089,354,0,0,20.1339133089,354,-0.298842584326,-0.630377459427
203,2015-07-23,0.30230530173,13.4305710175,725,0,0,13.4305710175,725,-0.298842584326,-0.630377459427
184,2015-07-04,0.301560463975,26.0266693575,228,1,1,26.0266693575,228,3.33707552497,1.58200497029
359,2015-12-26,0.301539425943,18.7884463786,218,1,1,18.7884463786,218,3.33707552497,1.58200497029
344,2015-12-11,0.30078179162,12.2219838414,920,0,1,12.2219838414,920,-0.298842584326,1.58200497029
