,bike_date,km_score,tripduration_x,bike_trip_count_x,holiday_x,weekend_x,tripduration_x,bike_trip_count_x,holiday_y,weekend_y
74,2015-03-16,0.663541880445,19.187530324,277,0,0,19.187530324,277,-0.298842584326,-0.630377459427
215,2015-08-04,0.663453853967,21.4124866715,655,0,0,21.4124866715,655,-0.298842584326,-0.630377459427
220,2015-08-09,0.661462569691,28.0076066551,537,0,0,28.0076066551,537,-0.298842584326,-0.630377459427
327,2015-11-24,0.65437126899,20.525638087,394,0,0,20.525638087,394,-0.298842584326,-0.630377459427
99,2015-04-10,0.653514508108,18.3352900002,211,0,1,18.3352900002,211,-0.298842584326,1.58200497029
185,2015-07-05,0.652899593156,24.5223960091,398,0,0,24.5223960091,398,-0.298842584326,-0.630377459427
52,2015-02-22,0.647452264409,18.8619047619,40,0,0,18.8619047619,40,-0.298842584326,-0.630377459427
307,2015-11-04,0.646890329209,21.9369543336,653,0,0,21.9369543336,653,-0.298842584326,-0.630377459427
277,2015-10-05,0.644890252845,20.53496879,646,0,0,20.53496879,646,-0.298842584326,-0.630377459427
363,2015-12-30,0.642162208727,17.8956862343,285,0,0,17.8956862343,285,-0.298842584326,-0.630377459427
90,2015-04-01,0.639184938106,17.6291201767,286,0,0,17.6291201767,286,-0.298842584326,-0.630377459427
38,2015-02-08,0.637118530565,14.0909090909,40,0,0,14.0909090909,40,-0.298842584326,-0.630377459427
266,2015-09-24,0.630777598716,22.2498054484,650,0,0,22.2498054484,650,-0.298842584326,-0.630377459427
292,2015-10-20,0.627039630029,18.9170149735,621,0,0,18.9170149735,621,-0.298842584326,-0.630377459427
49,2015-02-19,0.625725947582,11.9393796992,85,0,0,11.9393796992,85,-0.298842584326,-0.630377459427
31,2015-02-01,0.624161041605,16.3904761905,31,0,0,16.3904761905,31,-0.298842584326,-0.630377459427
360,2015-12-27,0.619847148858,20.9652704438,93,0,0,20.9652704438,93,-0.298842584326,-0.630377459427
66,2015-03-08,0.619563449894,19.792030192,61,0,0,19.792030192,61,-0.298842584326,-0.630377459427
100,2015-04-11,0.617266559418,23.8151923571,211,0,1,23.8151923571,211,-0.298842584326,1.58200497029
