,taxi_date,total_amount,geometry
52021107,2015-05-31,46.84,POINT (-73.97307586669923 40.75690078735352)
52021119,2015-05-31,10.8,POINT (-73.97975158691406 40.75529861450195)
52021273,2015-05-31,5.8,POINT (-73.98113250732422 40.75843811035156)
52021842,2015-05-31,4.3,POINT (-73.97283172607422 40.76153182983398)
52021997,2015-05-31,49.61,POINT (-73.97262573242188 40.75527572631836)
52023047,2015-05-31,18.8,POINT (-73.98114013671875 40.75814819335938)
52023048,2015-05-31,25.3,POINT (-73.9803009033203 40.76056671142577)
52023060,2015-05-31,14.3,POINT (-73.98031616210938 40.75906753540039)
52023066,2015-05-31,11.0,POINT (-73.9798583984375 40.75881576538085)
52024633,2015-05-31,6.8,POINT (-73.97946166992188 40.76187133789063)
52025565,2015-05-31,49.84,POINT (-73.97529602050781 40.761962890625)
52029903,2015-05-31,6.8,POINT (-73.97581481933594 40.76218414306641)
52045781,2015-05-31,12.3,POINT (-73.97837829589844 40.75979995727539)
52048113,2015-05-31,16.3,POINT (-73.97421264648438 40.75678253173828)
52048885,2015-05-31,51.41,POINT (-73.9768829345703 40.75412368774415)
52049182,2015-05-31,36.34,POINT (-73.97250366210938 40.7592658996582)
52049198,2015-05-31,14.65,POINT (-73.98007965087891 40.76013565063477)
52075051,2015-05-31,14.8,POINT (-73.97337341308594 40.76098251342773)
52075352,2015-05-31,35.34,POINT (-73.97463226318358 40.75506973266602)
52075724,2015-05-31,10.3,POINT (-73.97769165039062 40.75431823730469)
52075728,2015-05-31,11.44,POINT (-73.97356414794923 40.75453186035156)
52075828,2015-05-31,37.34,POINT (-73.97752380371094 40.75445938110352)
52075910,2015-05-31,8.8,POINT (-73.97315216064453 40.76104736328125)
52078234,2015-05-31,14.15,POINT (-73.97139739990234 40.75799179077149)
52078285,2015-05-31,17.8,POINT (-73.9713134765625 40.7580451965332)
52078296,2015-05-31,70.0,POINT (-73.97318267822266 40.75527954101562)
52078372,2015-05-31,11.3,POINT (-73.97348022460938 40.75500869750977)
52078434,2015-05-31,16.8,POINT (-73.97319793701173 40.75532913208008)
52078440,2015-05-31,4.8,POINT (-73.97582244873048 40.75844573974609)
52079233,2015-05-31,23.8,POINT (-73.97382354736328 40.76054000854492)
52079356,2015-05-31,8.3,POINT (-73.9722900390625 40.75644302368164)
52079788,2015-05-31,12.95,POINT (-73.97818756103516 40.75658416748047)
52079801,2015-05-31,15.35,POINT (-73.97296905517578 40.75563430786133)
52084607,2015-05-31,8.8,POINT (-73.98072052001955 40.75729370117188)
52084890,2015-05-31,35.76,POINT (-73.97528839111328 40.75600051879883)
52086093,2015-05-31,15.96,POINT (-73.97350311279298 40.75907135009766)
52086101,2015-05-31,10.8,POINT (-73.97548675537109 40.75773620605469)
52086173,2015-05-31,7.3,POINT (-73.97682952880859 40.75660705566406)
52086188,2015-05-31,9.12,POINT (-73.97277069091797 40.75611114501953)
52086243,2015-05-31,13.5,POINT (-73.97659301757811 40.76248931884766)
52086245,2015-05-31,19.3,POINT (-73.9781494140625 40.76233673095703)
52086248,2015-05-31,8.3,POINT (-73.97451019287109 40.76235961914063)
52086609,2015-05-31,8.5,POINT (-73.97560882568358 40.75353240966797)
52086618,2015-05-31,6.3,POINT (-73.97322845458984 40.75777053833008)
52086659,2015-05-31,59.34,POINT (-73.97301483154298 40.75875854492188)
52086744,2015-05-31,6.8,POINT (-73.97640228271484 40.75927734375)
52086750,2015-05-31,11.75,POINT (-73.97428131103516 40.76255416870117)
52086916,2015-05-31,11.3,POINT (-73.97806549072266 40.76200485229492)
52087427,2015-05-31,32.15,POINT (-73.97262573242188 40.75599670410156)
52112980,2015-05-31,69.99,POINT (-73.97260284423827 40.75613021850585)
52113175,2015-05-31,11.75,POINT (-73.97999572753906 40.76070022583008)
52113263,2015-05-31,40.34,POINT (-73.9793701171875 40.7623405456543)
52113274,2015-05-31,6.8,POINT (-73.97925567626955 40.76232528686523)
52113323,2015-05-31,51.05,POINT (-73.97878265380859 40.76203536987305)
52113327,2015-05-31,21.96,POINT (-73.97905731201173 40.76221084594727)
52113462,2015-05-31,13.8,POINT (-73.97254180908203 40.7606201171875)
52113471,2015-05-31,10.3,POINT (-73.97236633300781 40.75693893432617)
52115206,2015-05-31,45.99,POINT (-73.97178649902342 40.75645065307617)
52115214,2015-05-31,10.8,POINT (-73.98046875 40.75993728637695)
52115271,2015-05-31,6.3,POINT (-73.980224609375 40.76077270507813)
52115372,2015-05-31,55.0,POINT (-73.97892761230467 40.76183319091797)
52115925,2015-05-31,11.3,POINT (-73.97458648681641 40.75650787353516)
52116002,2015-05-31,17.3,POINT (-73.97740936279298 40.7588005065918)
52116017,2015-05-31,14.75,POINT (-73.97217559814453 40.75898361206055)
52116183,2015-05-31,10.8,POINT (-73.97314453125 40.75874710083008)
52116244,2015-05-31,18.3,POINT (-73.98108673095702 40.75950622558594)
52116396,2015-05-31,11.0,POINT (-73.97196960449219 40.7578010559082)
52116398,2015-05-31,6.8,POINT (-73.973876953125 40.75700378417969)
52138428,2015-05-31,16.56,POINT (-73.97421264648438 40.75506210327149)
52139186,2015-05-31,17.3,POINT (-73.97663879394531 40.75898361206055)
52139638,2015-05-31,12.88,POINT (-73.97205352783203 40.75883865356445)
52139723,2015-05-31,32.8,POINT (-73.97408294677734 40.76210403442383)
52139725,2015-05-31,3.3,POINT (-73.97557830810547 40.75500869750977)
52139997,2015-05-31,15.65,POINT (-73.97371673583984 40.76111221313477)
52140232,2015-05-31,26.16,POINT (-73.97418975830078 40.75995254516602)
52140291,2015-05-31,11.75,POINT (-73.9749755859375 40.76180267333984)
52140367,2015-05-31,11.16,POINT (-73.97940063476562 40.7619514465332)
52140511,2015-05-31,8.8,POINT (-73.97364044189453 40.75514221191406)
52140833,2015-05-31,9.3,POINT (-73.97364044189453 40.76187133789063)
52140923,2015-05-31,11.8,POINT (-73.97840881347656 40.7623291015625)
52140929,2015-05-31,8.8,POINT (-73.9766845703125 40.76003646850585)
52140934,2015-05-31,39.84,POINT (-73.97267150878906 40.75592422485352)
52140987,2015-05-31,4.3,POINT (-73.981201171875 40.75867462158203)
52140990,2015-05-31,10.3,POINT (-73.97470092773438 40.75668716430664)
52141052,2015-05-31,9.8,POINT (-73.97370910644531 40.75460433959961)
52141481,2015-05-31,18.8,POINT (-73.97251129150391 40.75553131103516)
52142121,2015-05-31,16.55,POINT (-73.97382354736328 40.7572021484375)
52142443,2015-05-31,11.76,POINT (-73.97358703613281 40.75537109375)
52142445,2015-05-31,27.96,POINT (-73.97389221191406 40.7600212097168)
52142452,2015-05-31,6.96,POINT (-73.97808837890625 40.75453186035156)
52142784,2015-05-31,13.8,POINT (-73.97661590576173 40.75640106201172)
52143009,2015-05-31,12.3,POINT (-73.97341156005859 40.76068115234375)
52143010,2015-05-31,8.3,POINT (-73.97874450683594 40.76235961914063)
52143020,2015-05-31,40.34,POINT (-73.97557067871094 40.75749588012695)
52143183,2015-05-31,20.0,POINT (-73.97682952880859 40.75746536254883)
52144090,2015-05-31,8.8,POINT (-73.97830963134766 40.76176071166992)
52144165,2015-05-31,116.8,POINT (-73.97525024414062 40.75775527954102)
52144312,2015-05-31,9.8,POINT (-73.97341918945312 40.75692749023438)
52167336,2015-05-31,11.75,POINT (-73.97468566894531 40.75944900512695)
