,taxi_date,total_amount,geometry
386672,2015-01-27,11.63,POINT (-73.9793243408203 40.75500106811523)
387856,2015-01-27,13.5,POINT (-73.97633361816406 40.75536346435547)
387862,2015-01-27,7.68,POINT (-73.9789505004883 40.76119613647461)
388297,2015-01-27,10.8,POINT (-73.97227478027344 40.75656127929688)
397900,2015-01-27,13.3,POINT (-73.97158813476562 40.75879287719727)
398953,2015-01-27,10.8,POINT (-73.97975921630859 40.76194381713867)
401447,2015-01-27,7.8,POINT (-73.97515869140625 40.75379943847656)
410491,2015-01-27,11.3,POINT (-73.97318267822266 40.75550079345703)
410494,2015-01-27,12.0,POINT (-73.9764404296875 40.76004028320313)
419878,2015-01-27,10.8,POINT (-73.97333526611328 40.76058959960938)
419883,2015-01-27,10.3,POINT (-73.97416687011719 40.7596092224121)
434322,2015-01-27,14.16,POINT (-73.97418212890625 40.76250076293945)
436730,2015-01-27,11.3,POINT (-73.97259521484375 40.75564575195313)
436731,2015-01-27,7.3,POINT (-73.97837066650391 40.76292419433594)
437466,2015-01-27,6.8,POINT (-73.97274017333984 40.75799942016602)
437468,2015-01-27,10.56,POINT (-73.97963714599609 40.76104354858398)
437471,2015-01-27,7.3,POINT (-73.97877502441406 40.7570686340332)
437588,2015-01-27,16.3,POINT (-73.980712890625 40.75890350341797)
438016,2015-01-27,9.8,POINT (-73.9761962890625 40.75507736206055)
438038,2015-01-27,9.3,POINT (-73.98078155517578 40.75962829589844)
438042,2015-01-27,15.36,POINT (-73.97767639160156 40.75506591796875)
438050,2015-01-27,13.5,POINT (-73.979736328125 40.75944900512695)
438752,2015-01-27,7.8,POINT (-73.97284698486328 40.7617416381836)
438758,2015-01-27,6.8,POINT (-73.97907257080078 40.76119995117188)
438761,2015-01-27,18.96,POINT (-73.97493743896483 40.75957107543945)
438801,2015-01-27,9.3,POINT (-73.97876739501955 40.76230239868164)
438828,2015-01-27,15.3,POINT (-73.98068237304686 40.75924682617188)
438975,2015-01-27,9.2,POINT (-73.97315979003906 40.75625991821289)
441898,2015-01-27,8.3,POINT (-73.97518920898438 40.75521087646485)
441901,2015-01-27,25.56,POINT (-73.97978973388672 40.75606155395508)
443541,2015-01-27,12.96,POINT (-73.97496795654298 40.7583122253418)
443545,2015-01-27,12.0,POINT (-73.98013305664062 40.76124572753906)
443556,2015-01-27,8.16,POINT (-73.98052978515625 40.76087188720703)
447841,2015-01-27,10.18,POINT (-73.97334289550781 40.75764846801758)
450448,2015-01-27,7.88,POINT (-73.97891235351562 40.76221084594727)
463060,2015-01-27,8.8,POINT (-73.97645568847656 40.7551155090332)
473650,2015-01-27,9.8,POINT (-73.97573089599609 40.75448608398438)
474969,2015-01-27,24.95,POINT (-73.97869873046875 40.76194381713867)
475020,2015-01-27,12.3,POINT (-73.97516632080078 40.76102828979492)
475484,2015-01-27,8.3,POINT (-73.97318267822266 40.75525283813477)
475487,2015-01-27,8.8,POINT (-73.97336578369139 40.75501251220703)
475874,2015-01-27,22.3,POINT (-73.97747039794923 40.75556182861328)
475884,2015-01-27,12.3,POINT (-73.97425842285155 40.75642013549805)
475892,2015-01-27,7.05,POINT (-73.97351837158203 40.76074600219727)
475940,2015-01-27,34.3,POINT (-73.97874450683594 40.75693893432617)
476524,2015-01-27,10.56,POINT (-73.97561645507811 40.76192474365234)
476526,2015-01-27,13.8,POINT (-73.97489166259766 40.75630187988281)
476536,2015-01-27,6.3,POINT (-73.97784423828125 40.75725555419922)
476539,2015-01-27,11.62,POINT (-73.97445678710938 40.75920104980469)
476704,2015-01-27,8.8,POINT (-73.97565460205078 40.75511932373047)
477322,2015-01-27,20.15,POINT (-73.97584533691406 40.75592803955078)
478988,2015-01-27,10.3,POINT (-73.97334289550781 40.75938415527344)
479041,2015-01-27,14.0,POINT (-73.97261047363281 40.75518417358398)
479050,2015-01-27,12.3,POINT (-73.9769973754883 40.76317596435547)
479247,2015-01-27,11.15,POINT (-73.97307586669923 40.75858688354492)
479275,2015-01-27,9.36,POINT (-73.97250366210938 40.75771331787109)
485944,2015-01-27,10.8,POINT (-73.97380828857422 40.76031875610352)
485945,2015-01-27,7.3,POINT (-73.97270965576173 40.75647354125977)
489194,2015-01-27,10.14,POINT (-73.97469329833984 40.75421142578125)
490798,2015-01-27,7.3,POINT (-73.97219085693358 40.7575569152832)
505779,2015-01-27,9.96,POINT (-73.975341796875 40.76139068603516)
506134,2015-01-27,8.0,POINT (-73.97612762451173 40.75482177734375)
527483,2015-01-27,11.76,POINT (-73.97402954101562 40.75593948364258)
