,taxi_date,total_amount,geometry
108504362,2015-09-24,7.88,POINT (-73.97496795654298 40.75600814819336)
108504389,2015-09-24,7.8,POINT (-73.97452545166014 40.75638580322266)
108504416,2015-09-24,7.0,POINT (-73.97645568847656 40.75602340698241)
108504433,2015-09-24,6.3,POINT (-73.97710418701173 40.75608062744141)
108504450,2015-09-24,9.96,POINT (-73.97887420654298 40.76200485229492)
108504461,2015-09-24,5.8,POINT (-73.9739990234375 40.75739288330078)
108504478,2015-09-24,5.16,POINT (-73.97191619873048 40.75814056396485)
108504484,2015-09-24,4.3,POINT (-73.97125244140625 40.75843048095703)
108504548,2015-09-24,5.3,POINT (-73.9769973754883 40.75611114501953)
108504634,2015-09-24,8.8,POINT (-73.97769927978516 40.75782012939453)
108504677,2015-09-24,5.3,POINT (-73.97704315185547 40.75583648681641)
108504779,2015-09-24,22.3,POINT (-73.97901153564453 40.76197814941406)
108504785,2015-09-24,8.15,POINT (-73.97307586669923 40.758544921875)
108504786,2015-09-24,6.35,POINT (-73.97718811035155 40.75583648681641)
108504867,2015-09-24,4.3,POINT (-73.97709655761719 40.75441360473633)
108504896,2015-09-24,7.55,POINT (-73.97696685791014 40.75453186035156)
108504941,2015-09-24,6.3,POINT (-73.97716522216798 40.75631332397461)
108504962,2015-09-24,12.36,POINT (-73.97900390625 40.76206207275391)
108505033,2015-09-24,14.45,POINT (-73.97674560546875 40.75622940063477)
108505039,2015-09-24,10.3,POINT (-73.97698211669923 40.75897979736328)
108505051,2015-09-24,7.56,POINT (-73.97683715820312 40.76153182983398)
108505057,2015-09-24,14.76,POINT (-73.97966003417969 40.76132965087891)
108505070,2015-09-24,6.89,POINT (-73.976806640625 40.75600051879883)
108505071,2015-09-24,6.36,POINT (-73.97759246826173 40.75463104248047)
108505163,2015-09-24,9.1,POINT (-73.97591400146483 40.75460815429688)
108505270,2015-09-24,7.3,POINT (-73.97821044921875 40.75492858886719)
108505291,2015-09-24,7.55,POINT (-73.97280120849609 40.75608444213867)
108505304,2015-09-24,9.75,POINT (-73.97500610351562 40.75611114501953)
108505329,2015-09-24,9.45,POINT (-73.97759246826173 40.75394058227539)
108505338,2015-09-24,9.95,POINT (-73.97356414794923 40.75777816772461)
108505356,2015-09-24,25.3,POINT (-73.97815704345702 40.75724029541016)
