,taxi_date,km_score,total_amount_x,taxi_trip_count_x,holiday_x,weekend_x,total_amount_y,taxi_trip_count_y,holiday_y,weekend_y
218,2015-08-07,1.8838084668,13.6911735316,8206,0,1,0.519844020002,-0.873797223422,-0.298842584326,1.58200497029
139,2015-05-20,1.88320154779,14.4991988606,11234,0,0,1.57851167468,0.993850386406,-0.298842584326,-0.630377459427
8,2015-01-09,1.8624128191,12.8225303958,10939,0,1,-0.618244550012,0.811896606717,-0.298842584326,1.58200497029
59,2015-03-01,1.85762032787,12.6637395819,7319,0,0,-0.826290872964,-1.42089214744,-0.298842584326,-0.630377459427
301,2015-10-29,1.84155713861,14.5778600056,10729,0,0,1.68157281261,0.682370187277,-0.298842584326,-0.630377459427
211,2015-07-31,1.83931475255,13.9529972875,8848,0,1,0.862883194272,-0.477816455421,-0.298842584326,1.58200497029
71,2015-03-13,1.82851323898,13.6603201151,11121,0,1,0.479420146053,0.924152836898,-0.298842584326,1.58200497029
267,2015-09-25,1.82745636256,13.3208390161,8212,0,1,0.0346350062866,-0.870096468581,-0.298842584326,1.58200497029
6,2015-01-07,1.82666547935,12.1155962441,10650,0,0,-1.54446343635,0.633643581868,-0.298842584326,-0.630377459427
253,2015-09-11,1.82230360808,14.0450672741,9439,0,1,0.983512478067,-0.113292103568,-0.298842584326,1.58200497029
1,2015-01-02,1.80940540135,12.5589400974,8831,1,1,-0.963598232656,-0.48830192747,3.33707552497,1.58200497029
322,2015-11-19,1.79851976034,14.4480871518,11130,0,0,1.51154556496,0.92970396916,-0.298842584326,-0.630377459427
100,2015-04-11,1.79562246536,12.7645660702,10451,0,1,-0.694188897832,0.510901879637,-0.298842584326,1.58200497029
78,2015-03-20,1.79175029431,12.9562379421,10885,0,1,-0.44306210293,0.778589813146,-0.298842584326,1.58200497029
106,2015-04-17,1.78487031984,13.632580968,10992,0,1,0.443076560314,0.844586607813,-0.298842584326,1.58200497029
176,2015-06-26,1.78444791895,14.0001324233,9817,0,1,0.924639233226,0.119855451424,-0.298842584326,1.58200497029
260,2015-09-18,1.78428356203,13.9886121103,10008,0,1,0.909545420762,0.237662813866,-0.298842584326,1.58200497029
228,2015-08-17,1.77988947729,12.7072362215,7421,0,0,-0.769301959619,-1.35797931514,-0.298842584326,-0.630377459427
155,2015-06-05,1.77953892228,13.9074549117,10424,0,1,0.803213975469,0.494248482852,-0.298842584326,1.58200497029
99,2015-04-10,1.75712761792,13.2834158506,11028,0,1,-0.0143964948807,0.86679113686,-0.298842584326,1.58200497029
287,2015-10-15,1.75400451419,14.4662753557,10895,0,0,1.53537558909,0.784757737882,-0.298842584326,-0.630377459427
338,2015-12-05,1.75199154969,13.2182779649,10987,0,1,-0.0997395778274,0.841502645446,-0.298842584326,1.58200497029
162,2015-06-12,1.74485660026,13.7902802234,10563,0,1,0.649692732984,0.579982636672,-0.298842584326,1.58200497029
268,2015-09-26,1.74127732486,12.8886955553,8977,0,1,-0.531555542022,-0.398250226336,-0.298842584326,1.58200497029
310,2015-11-07,1.73984181267,13.022332497,10761,0,1,-0.356465600489,0.70210754643,-0.298842584326,1.58200497029
32,2015-02-02,1.73653046813,12.5759234263,7705,0,0,-0.94134682494,-1.18281025266,-0.298842584326,-0.630377459427
48,2015-02-18,1.72297886909,13.750829024,12183,0,0,0.598004119753,1.57918644378,-0.298842584326,-0.630377459427
131,2015-05-12,1.7065878178,14.2264502654,11491,0,0,1.22115887249,1.1523660521,-0.298842584326,-0.630377459427
190,2015-07-10,1.70606483646,13.6860440054,8908,0,1,0.513123360081,-0.440808907009,-0.298842584326,1.58200497029
294,2015-10-22,1.69982273792,14.4352270415,10813,0,0,1.49469636193,0.734180755053,-0.298842584326,-0.630377459427
204,2015-07-24,1.69973895311,13.6617395213,8899,0,1,0.481279839526,-0.446360039271,-0.298842584326,1.58200497029
363,2015-12-30,1.69872340356,14.3986264381,8518,0,0,1.44674257439,-0.681357971683,-0.298842584326,-0.630377459427
114,2015-04-25,1.69398782544,13.0214072738,10531,0,1,-0.357677819782,0.560245277519,-0.298842584326,1.58200497029
323,2015-11-20,1.68938157527,13.7566423783,10293,0,1,0.605620725206,0.413448668821,-0.298842584326,1.58200497029
12,2015-01-13,1.68884929068,12.7114959172,11879,0,0,-0.763720944,1.39168153183,-0.298842584326,-0.630377459427
45,2015-02-15,1.68290125338,12.2409797172,10748,1,0,-1.38018711659,0.694089244274,3.33707552497,-0.630377459427
161,2015-06-11,1.67122777924,13.9731261071,11855,0,0,0.889255796064,1.37687851246,-0.298842584326,-0.630377459427
163,2015-06-13,1.66568255324,12.9896717639,10267,0,1,-0.399257404709,0.397412064509,-0.298842584326,1.58200497029
362,2015-12-29,1.6650895549,12.3716762315,8364,0,0,-1.20894969704,-0.776344012606,-0.298842584326,-0.630377459427
85,2015-03-27,1.65531112889,13.2352962858,10581,0,1,-0.077442323947,0.591084901195,-0.298842584326,1.58200497029
92,2015-04-03,1.65287640238,12.9447077754,9633,0,1,-0.458168825665,0.00636563629524,-0.298842584326,1.58200497029
279,2015-10-07,1.65233732944,14.4522705176,10491,0,0,1.51702657384,0.535573578578,-0.298842584326,-0.630377459427
175,2015-06-25,1.65141144918,14.4480966423,10513,0,0,1.51155799922,0.549143012996,-0.298842584326,-0.630377459427
235,2015-08-24,1.64821445146,13.0801986665,7349,0,0,-0.280649855915,-1.40238837323,-0.298842584326,-0.630377459427
307,2015-11-04,1.64452411445,14.5001149425,9831,0,0,1.57971191714,0.128490546053,-0.298842584326,-0.630377459427
300,2015-10-28,1.64153408169,14.4397716678,10511,0,0,1.50065069113,0.547909428049,-0.298842584326,-0.630377459427
305,2015-11-02,1.63825355894,14.4774352638,9307,0,0,1.54999720221,-0.194708710073,-0.298842584326,-0.630377459427
317,2015-11-14,1.63807244001,13.2806488441,10511,0,1,-0.0180218023678,0.547909428049,-0.298842584326,1.58200497029
324,2015-11-21,1.63754226837,13.0741147813,10263,0,1,-0.288620908651,0.394944894615,-0.298842584326,1.58200497029
149,2015-05-30,1.63503551365,13.0513860511,10180,0,1,-0.318399890325,0.343751119312,-0.298842584326,1.58200497029
261,2015-09-19,1.63452538195,13.0081771218,9485,0,1,-0.375011848155,-0.0849196497862,-0.298842584326,1.58200497029
254,2015-09-12,1.62937744183,13.1421401246,9149,0,1,-0.199494704167,-0.29216192089,-0.298842584326,1.58200497029
97,2015-04-08,1.62802402727,13.3654925177,12162,0,0,0.0931396299857,1.56623380184,-0.298842584326,-0.630377459427
345,2015-12-12,1.62027234345,13.5903359199,10181,0,1,0.387727471104,0.344367911786,-0.298842584326,1.58200497029
5,2015-01-06,1.619370051,12.2148260427,9830,0,0,-1.41445343001,0.127873753579,-0.298842584326,-0.630377459427
141,2015-05-22,1.61512479395,13.6503930672,9693,0,1,0.466413815462,0.0433731847066,-0.298842584326,1.58200497029
7,2015-01-08,1.61226934333,12.461719836,11222,0,0,-1.09097536103,0.986448876724,-0.298842584326,-0.630377459427
270,2015-09-28,1.61142440304,14.4304292318,9086,0,0,1.48841031395,-0.331019846722,-0.298842584326,-0.630377459427
308,2015-11-05,1.61037350979,14.4216237681,10451,0,0,1.47687347309,0.510901879637,-0.298842584326,-0.630377459427
249,2015-09-07,1.60778978386,12.3149318755,5945,1,0,-1.28329565138,-2.26836500606,3.33707552497,-0.630377459427
328,2015-11-25,1.60528428047,13.835789182,9022,1,0,0.709318168864,-0.370494565027,3.33707552497,-0.630377459427
169,2015-06-19,1.59905447342,13.5804118832,9930,0,1,0.374725085848,0.189553000932,-0.298842584326,1.58200497029
361,2015-12-28,1.5956988955,12.5827166189,8021,0,0,-0.932446444044,-0.987903831024,-0.298842584326,-0.630377459427
107,2015-04-18,1.59276242251,13.2686770046,10189,0,1,-0.0337072007614,0.349302251574,-0.298842584326,1.58200497029
296,2015-10-24,1.58883190288,13.3788357241,10178,0,1,0.110621781292,0.342517534365,-0.298842584326,1.58200497029
56,2015-02-26,1.58263038199,13.4018072688,12079,0,0,0.140718896419,1.51504002653,-0.298842584326,-0.630377459427
282,2015-10-10,1.57628586632,13.3943955715,10026,0,1,0.131008156033,0.24876507839,-0.298842584326,1.58200497029
0,2015-01-01,1.57011763654,11.7982604228,6812,1,0,-1.96023402875,-1.73360593151,3.33707552497,-0.630377459427
70,2015-03-12,1.56984979612,13.8740582788,11771,0,0,0.759458001764,1.32506794469,-0.298842584326,-0.630377459427
193,2015-07-13,1.5682498432,12.876644883,7651,0,0,-0.547344226495,-1.21611704623,-0.298842584326,-0.630377459427
91,2015-04-02,1.5657823389,14.3238665303,10759,0,0,1.34879280302,0.700873961482,-0.298842584326,-0.630377459427
271,2015-09-29,1.56183756023,14.4185506386,10101,0,0,1.47284708593,0.295024513904,-0.298842584326,-0.630377459427
349,2015-12-16,1.5613247682,14.0902049396,11418,0,0,1.04265144902,1.10734020153,-0.298842584326,-0.630377459427
39,2015-02-09,1.56028255485,12.2639085927,9671,0,0,-1.35014590622,0.0298037502891,-0.298842584326,-0.630377459427
285,2015-10-13,1.55123329703,13.7005415391,9473,1,0,0.532117900813,-0.0923211594685,3.33707552497,-0.630377459427
167,2015-06-17,1.54186330239,14.256257433,10931,0,0,1.26021196036,0.806962266928,-0.298842584326,-0.630377459427
160,2015-06-10,1.53479822528,14.1834633007,11131,0,0,1.16483773069,0.930320761633,-0.298842584326,-0.630377459427
343,2015-12-10,1.53311725118,14.3074375993,10697,0,0,1.3272677626,0.662632828124,-0.298842584326,-0.630377459427
214,2015-08-03,1.51579898654,12.6946832438,8003,0,0,-0.785748760278,-0.999006095548,-0.298842584326,-0.630377459427
20,2015-01-21,1.50571889091,12.62819594,11330,0,0,-0.872859838919,1.05306246386,-0.298842584326,-0.630377459427
178,2015-06-28,1.50073373864,13.0511562132,7637,0,0,-0.318701021923,-1.22475214086,-0.298842584326,-0.630377459427
327,2015-11-24,1.49334522584,14.3265826681,10397,0,0,1.3523514627,0.477595086067,-0.298842584326,-0.630377459427
262,2015-09-20,1.48067708804,12.8116331436,7905,0,0,-0.632522033735,-1.05945175795,-0.298842584326,-0.630377459427
